,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000101,0.022,0.8374,0.989,0.2022,0.9582,36.465149625469536,,32.85000000000002,32.703280763643946,,1039.0
1,Ada,16001000102,0.6725,0.6088,0.6637,0.1978,0.7538,23.035913047240385,,33.150000000000034,32.85658108569479,,1597.0
2,Ada,16001000201,0.2484,0.3077,0.6879,0.3231,0.1055,25.02337009894737,,36.170000000000016,34.49887825016474,,2078.0
3,Ada,16001000202,0.1297,0.1626,0.1538,0.5538,0.1451,25.917399510216946,,37.59000000000003,35.495464099537365,,3667.0
4,Ada,16001000302,0.3275,0.7407,0.9121,0.4967,0.7033,81.68172803880138,,34.97000000000003,33.66849852966615,226.71669781208038,2287.0
5,Ada,16001000303,0.4044,0.4593,0.5473,0.3868,0.444,68.22077940119696,,33.73000000000002,33.2531060473269,,1377.0
6,Ada,16001000305,0.0857,0.3341,0.233,0.3626,0.578,67.84610911205621,,36.27000000000004,34.46603491844706,,1569.0
7,Ada,16001000306,0.3231,0.2242,0.2286,0.189,0.3407,77.45742176341376,,35.870000000000005,34.17242776940985,,2702.0
8,Ada,16001000401,0.0374,0.4242,0.2967,0.6747,0.5538,77.01665227708638,,33.170000000000016,32.91669626785073,,1453.0
9,Ada,16001000402,0.7846,0.5714,0.9231,0.2462,0.3077,54.79448808124595,,32.83000000000004,32.468222654787766,,2706.0
10,Ada,16001000501,0.2725,0.356,0.5582,0.2264,0.3824,78.01133706860486,,34.410000000000025,32.85126795895099,,1885.0
11,Ada,16001000502,0.7187,0.2044,0.2132,0.1231,0.2813,88.46365965754255,,34.410000000000025,32.96455799231293,,1991.0
12,Ada,16001000601,0.2132,0.0088,0.1934,0.0154,0.0044,89.64766260703075,,33.71000000000004,32.92095255744999,,1578.0
13,Ada,16001000602,0.4352,0.1802,0.2418,0.0747,0.3451,84.40036643893373,,33.71000000000004,32.67870390884638,,2062.0
14,Ada,16001000701,0.4264,0.3385,0.8198,0.156,0.1143,75.71840120704098,,34.950000000000045,33.10396177237189,,3010.0
15,Ada,16001000703,0.6549,0.0066,0.0,0.0462,0.0396,49.26272001986774,,35.05000000000001,33.445025327771134,,31.0
16,Ada,16001000704,0.233,0.0923,0.5538,0.0396,0.0088,41.79875306165457,,36.29000000000002,34.33734002493606,,2057.0
17,Ada,16001000803,0.7407,0.2198,0.1516,0.3451,0.2176,74.15553196970035,,33.59000000000003,32.62604408698246,233.40979548857945,2982.0
