FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.290472208,Ada,0.6272,0.63,0.8422,0.1863,0.67,26.34668863940669,1.4767084121704102,50.51000000000005,41.83133234004057,,3335.0,3867.221916747604,103106.0,777.3037181738575
16001000200,48.34291995,Ada,0.3799,0.125,0.3942,0.0752,0.028,16.628462171794663,1.4767084121704102,57.75000000000006,44.75970706356148,,7455.0,2830.8518661197886,212119.0,154.2107925568116
16001000301,6.183234462000001,Ada,0.491,0.136,0.3261,0.0716,0.025,72.3287785458529,1.4767084121704102,53.89000000000004,41.48964765283987,,7219.0,3347.9693955117104,217888.0,1167.511929939816
16001000302,2.057457956,Ada,0.5949,0.756,0.8637,0.9032,0.344,80.00101746945401,1.4767084121704102,50.49000000000001,41.48017082876905,,2831.0,3427.131847216991,91971.0,1375.9697940578476
16001000400,3.959828478,Ada,0.6953,0.738,0.9247,0.4121,0.616,62.7671368399737,1.4767084121704102,50.21000000000004,40.62348212034485,,5175.0,3742.837167846524,162650.0,1306.8747873174923
16001000500,3.094456921,Ada,0.4265,0.179,0.1362,0.2688,0.315,89.15222516448107,1.4767084121704102,51.59000000000003,41.18840448373296,,4997.0,3652.3642920008906,156771.0,1614.822932608536
16001000600,2.065208159,Ada,0.448,0.143,0.344,0.0465,0.111,89.9979095826464,1.4767084121704102,51.23000000000002,41.23354924343796,,4644.0,3734.643428866501,127642.0,2248.683736678962
16001000700,19.38290978,Ada,0.5017,0.189,0.5304,0.0573,0.078,34.45448223355269,1.4767084121704102,58.99000000000001,43.347225934683074,,6759.0,2969.926687212522,200531.0,348.7092534978512
16001000801,5.886933795,Ada,0.4802,0.215,0.5806,0.0609,0.129,71.59241979418748,1.4767084121704102,49.21000000000004,40.88195757595203,,7346.0,3398.0855287959694,244383.0,1247.8482442318684
16001000802,2.818506758,Ada,0.5698,0.197,0.2473,0.2974,0.068,75.34992287414202,1.4767084121704102,49.85000000000002,41.43747257450042,,4664.0,3325.314722305105,150441.0,1654.77694412539
16001000803,2.333674704,Ada,0.3655,0.053,0.0465,0.1326,0.1,73.55693680701508,1.4767084121704102,50.690000000000055,41.20636198390904,,3675.0,3117.6684831694897,123986.0,1574.7696085066705
16001000900,2.6541073390000003,Ada,0.7025,0.594,0.9318,0.0537,0.541,49.24900462662061,1.4767084121704102,49.35000000000002,41.000348217410505,,4883.0,3576.39579045391,160901.0,1839.7899467923517
16001001000,4.463609222,Ada,0.724,0.681,0.9426,0.5448,0.247,77.13835369315576,1.4767084121704102,50.59000000000003,41.175279513582296,,5098.0,3600.94864912098,173462.0,1142.1250710911809
16001001100,5.532476161999999,Ada,0.9211,0.949,0.9605,0.81,0.738,29.069948841786164,1.4767084121704102,49.410000000000025,41.052280499050426,,3515.0,3628.60264230454,115225.0,635.3393845856756
16001001201,2.146885194,Ada,0.3799,0.06,0.0609,0.2329,0.0,83.24948818574488,1.4767084121704102,49.75000000000006,41.52273266705333,,2900.0,3594.275908823612,98226.0,1350.79416826981
16001001202,3.238438061,Ada,0.7347,0.82,0.9175,0.8243,0.383,51.67818271748295,1.4767084121704102,52.21000000000004,42.47123751666842,,5420.0,3570.2010488586616,175600.0,1673.646337495908
16001001400,2.640226085,Ada,0.7311,0.774,0.8243,0.8781,0.304,62.02975432457642,1.4767084121704102,52.59000000000003,42.22722325209667,,4551.0,3344.7750980009264,149424.0,1723.7160203271
16001001500,2.559051632,Ada,0.5949,0.315,0.1899,0.6881,0.057,73.27569157129071,1.4767084121704102,49.110000000000014,40.84135954650264,,2978.0,3400.943890340367,96815.0,1163.7123545149325
16001001600,3.163079692,Ada,0.2616,0.229,0.5232,0.2365,0.279,55.20924990001076,1.4767084121704102,51.09000000000003,41.82857368457128,,3615.0,3222.853033056853,120436.0,1142.8735131596552
16001001700,2.042765568,Ada,0.8136,0.734,0.7526,0.5878,0.48,64.96605363850443,1.4767084121704102,49.410000000000025,41.07770770427442,,4866.0,3304.7207355013243,161487.0,2382.064822428023
16001001800,3.620813063,Ada,0.6774,0.43,0.4444,0.6272,0.089,65.13142850690119,1.4767084121704102,52.23000000000002,42.0370677356927,,3872.0,3159.259570970393,126749.0,1069.3730752263364
16001001900,2.999285145,Ada,0.4946,0.232,0.1254,0.663,0.021,50.986454251150114,1.4767084121704102,52.53000000000003,43.28505735842899,,4355.0,3218.60954108389,138377.0,1452.0126595032364
16001002000,4.54989606,Ada,0.8458,0.946,0.9749,0.7741,0.831,22.8721582070408,1.4767084121704102,53.190000000000055,43.52568621496574,,4975.0,3419.2392564782244,164132.0,1093.4315717093546
16001002100,46.802241200000005,Ada,0.0681,0.093,0.1003,0.4946,0.093,6.239654732096418,1.4767084121704102,62.99000000000001,45.9154323247775,,1584.0,2841.759324619853,51438.0,33.8445330690702
16001002201,11.21134082,Ada,0.4157,0.039,0.0573,0.1003,0.003,53.13761404297611,1.4767084121704102,51.75000000000006,41.78595850766212,,8387.0,2995.6240168158115,278765.0,748.0817981234112
16001002221,9.155695291,Ada,0.3297,0.025,0.0716,0.1254,0.014,68.24057085290455,1.4767084121704102,49.910000000000025,40.73740776810219,,7395.0,2849.3547005368478,243753.0,807.693983358014
16001002222,5.237490767,Ada,0.0,0.0,0.0071,0.1182,0.039,69.68338096712048,0.0,48.29000000000002,39.72854414912796,,4296.0,2798.902556946414,142891.0,820.2401094562159
16001002302,5.8299327960000005,Ada,0.6379,0.666,0.9462,0.5017,0.362,34.24057016717511,1.4767084121704102,53.190000000000055,43.333244495210224,,6798.0,3416.133552245511,219762.0,1166.0511772389905
16001002310,6.605658271999999,Ada,0.7025,0.318,0.4014,0.2831,0.146,40.70074887923435,1.4767084121704102,51.370000000000005,42.215845876742335,,8013.0,3227.7792951245483,260804.0,1213.050943607759
