,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,24.95414242312563,1.3931264877319336,44.09000000000003,42.62876911630988,231.01914063421737,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,14.189652593335635,1.3931264877319336,53.63000000000005,48.45265273335478,0.0,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,72.82512406574017,1.3931264877319336,47.47000000000003,42.40224603220079,0.0,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,79.45791212786348,1.3931264877319336,43.81,41.76751230888832,226.71669781208038,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,58.32133231606853,1.3931264877319336,43.13000000000005,41.38514175488967,226.71669781208038,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,85.72793670467237,1.3931264877319336,45.49000000000001,41.73516938950991,226.71669781208038,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,84.69938190440723,1.3931264877319336,43.49000000000001,41.78899511274973,227.72201808289316,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,31.819939421704664,1.3931264877319336,53.870000000000005,46.0771608127669,0.0,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,70.66807857725254,1.3931264877319336,42.81,41.74239703882764,0.0,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,70.4618392499431,1.3931264877319336,42.950000000000045,42.39632474324242,233.40919715166086,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,70.69798737148473,1.3931264877319336,44.23000000000002,42.561179098826216,233.40979548857945,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,42.86619389440133,1.3931264877319336,42.29000000000002,41.60617320305181,233.40919715166086,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,71.06400294866391,1.3931264877319336,44.170000000000016,41.79882072093577,230.13865698946788,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,28.79338801778999,1.3931264877319336,42.89000000000004,42.121055585848616,226.71669781208038,2725.0
