,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0, Ada,16001000100,0.5387,0.771,0.8653,0.2997,0.8552,28.47305788754563,1.5264148712158203,40.690000000000055,39.30051030864456,231.01914063421737,2628.0
1, Ada,16001000201,0.0202,0.1684,0.8047,0.1448,0.064,16.480755290329597,1.5264148712158203,48.81,44.21870399441828,,2099.0
2, Ada,16001000202,0.1347,0.0034,0.0505,0.0539,0.0034,15.73520012625612,1.5264148712158203,52.77000000000004,44.91652890869874,,3663.0
3, Ada,16001000302,0.6296,0.5791,0.7879,0.1717,0.4074,79.70337678333162,1.5264148712158203,42.47000000000003,39.49239441416896,226.71669781208038,2337.0
4, Ada,16001000303,0.3131,0.2828,0.569,0.3064,0.2458,69.29685878466933,1.5264148712158203,38.01000000000005,36.934434374227614,,1397.0
5, Ada,16001000304,0.8418,0.2256,0.2054,0.1886,0.1515,71.18088182203061,1.5264148712158203,42.47000000000003,38.18688347705509,,4220.0
6, Ada,16001000400,0.5253,0.6465,0.8316,0.0707,0.7576,59.24975217349664,1.5264148712158203,39.49000000000001,37.81624825913116,226.71669781208038,4197.0
7, Ada,16001000500,0.4512,0.0976,0.1178,0.202,0.1212,86.06571627976342,1.5264148712158203,41.13000000000005,39.45058746063558,226.71669781208038,3869.0
8, Ada,16001000600,0.367,0.0471,0.1313,0.1145,0.0606,88.84214131538228,1.5264148712158203,42.49000000000001,40.47317699418011,227.72201808289316,3624.0
9, Ada,16001000701,0.2694,0.138,0.596,0.1246,0.0337,72.74919599745589,1.5264148712158203,42.79000000000002,39.92308404248713,,3021.0
10, Ada,16001000702,0.4242,0.0236,0.0539,0.0404,0.0168,23.465533814234767,1.5264148712158203,48.75000000000006,44.33672870882823,,2111.0
11, Ada,16001000802,0.5017,0.2458,0.3704,0.3603,0.1448,65.19448662006825,1.5264148712158203,39.150000000000034,38.46479218067946,233.40919715166086,3558.0
12, Ada,16001000803,0.468,0.0673,0.1111,0.0236,0.1684,56.10363024439492,1.5264148712158203,40.110000000000014,38.81699504430097,233.40979548857945,2965.0
13, Ada,16001000804,0.5926,0.2424,0.5253,0.0505,0.2694,60.27600040937453,1.5264148712158203,41.83000000000004,39.084634340675045,,3792.0
14, Ada,16001000805,0.1549,0.0,0.0101,0.0269,0.0,75.12939425372284,1.5264148712158203,41.83000000000004,38.45098291915892,,2051.0
15, Ada,16001000900,0.7205,0.6263,0.8923,0.0101,0.7475,42.4364858843084,1.5264148712158203,39.190000000000055,38.665918148990265,233.40919715166086,3614.0
16, Ada,16001001000,0.6633,0.303,0.5219,0.0438,0.3266,73.68580927537663,1.5264148712158203,39.23000000000002,38.83135381160529,230.13865698946788,3943.0
17, Ada,16001001100,0.8215,0.9899,0.9125,0.9663,0.9865,27.223768207750293,1.5264148712158203,38.97000000000003,37.63978848798381,226.71669781208038,2722.0
18, Ada,16001001201,0.5152,0.1751,0.0842,0.2391,0.2727,83.47177802800549,1.5264148712158203,38.49000000000001,37.59505542128514,226.71669781208035,2189.0
19, Ada,16001001202,0.5892,0.7609,0.9495,0.5556,0.5791,51.85437919044049,1.5264148712158203,39.670000000000016,38.61852483558791,227.11719019756723,4275.0
20, Ada,16001001400,0.7071,0.7542,0.7138,0.5758,0.7037,56.43753096243568,1.5264148712158203,40.09000000000003,39.238303770149095,231.71014925701857,3481.0
21, Ada,16001001500,0.3434,0.1212,0.1515,0.0303,0.3502,63.95691413220875,1.5264148712158203,38.910000000000025,38.45210911136109,233.40919715166086,2285.0
22, Ada,16001001600,0.4141,0.3737,0.3468,0.2492,0.4815,42.248853230696994,1.5264148712158203,39.83000000000004,38.587377792900114,233.40919715166086,2820.0
23, Ada,16001001700,0.7609,0.5354,0.3333,0.1077,0.7273,53.14509199727425,1.5264148712158203,38.73000000000002,37.97923876021798,233.40919715166086,3686.0
24, Ada,16001001800,0.3367,0.1852,0.2088,0.367,0.2054,63.43792324258194,1.5264148712158203,49.71000000000004,42.49719839010501,233.39941051608668,2915.0
25, Ada,16001001900,0.6667,0.8114,0.6431,0.8721,0.7441,61.01698239707856,1.5264148712158203,49.53000000000003,39.893388465588856,232.32370280631022,3246.0
26, Ada,16001002000,0.9697,0.9731,0.9899,0.3367,0.9394,26.94710816939207,1.5264148712158203,40.43000000000001,39.72361568189969,229.03816488855185,3845.0
27, Ada,16001002100,0.5522,0.064,0.0572,0.1684,0.0774,4.9590964174920975,1.5264148712158203,51.01000000000005,47.11688828267259,233.42823374963308,1271.0
28, Ada,16001002221,0.6027,0.0808,0.0236,0.2121,0.1481,70.5108983071309,1.5264148712158203,43.670000000000016,39.75728530948202,232.51835608871295,5541.0
29, Ada,16001002222,0.6734,0.0741,0.0067,0.1919,0.2088,74.6540501999081,0.0,40.43000000000001,37.26451158996672,233.01687273780485,3215.0
30, Ada,16001002223,0.2862,0.037,0.037,0.2054,0.0673,74.87378994483164,1.5264148712158203,42.47000000000003,39.80960514399568,,2830.0
31, Ada,16001002224,0.3737,0.202,0.1717,0.4276,0.2525,51.942152336536495,1.5264148712158203,42.27000000000004,39.550384559919216,,3688.0
32, Ada,16001002302,0.8519,0.9091,0.9798,0.3973,0.8081,40.07948035198567,1.5264148712158203,40.43000000000001,38.717285457809766,230.88470130270434,5095.0
33, Ada,16001002310,0.7475,0.6768,0.7609,0.5758,0.3704,46.04932977204342,1.5264148712158203,43.110000000000014,39.23053953438191,232.1130205392839,6168.0
34, Ada,16001002312,0.6229,0.7273,0.7778,0.7071,0.5421,56.23944285719884,1.5264148712158203,38.47000000000003,38.01239146580243,,3451.0
35, Ada,16001002313,0.6195,0.4411,0.6364,0.2189,0.2795,51.66790969530356,1.5264148712158203,43.110000000000014,39.86211362111386,,2663.0
36, Ada,16001002410,0.5926,0.2189,0.3502,0.4377,0.0438,68.2129249126146,1.5264148712158203,39.83000000000004,37.64304419049106,227.12003028768981,4676.0
37, Ada,16001002411,0.4983,0.1515,0.1953,0.101,0.2424,69.13103345759782,1.5264148712158203,40.77000000000004,39.8851568109463,230.6587311694754,3455.0
38, Ada,16001002412,0.4781,0.4377,0.3939,0.2626,0.5152,52.6561883553316,1.5264148712158203,37.23000000000002,34.494978198521764,236.54330316362822,2177.0
39, Ada,16001002413,0.6162,0.3939,0.4848,0.2559,0.2997,74.67984045998436,1.5264148712158203,43.05000000000001,39.6560223716865,234.63886761623988,5490.0
40, Ada,16001010100,0.1785,0.0135,0.0337,0.1549,0.0101,15.27289992837274,1.5264148712158203,54.83000000000004,44.57964214649388,243.96940484879337,3749.0
41, Ada,16001010201,0.2088,0.0303,0.0471,0.1145,0.101,24.60186736295637,0.0,55.89000000000004,44.48654196940026,248.66916885179143,6187.0
42, Ada,16001010221,0.165,0.1246,0.4747,0.1616,0.0572,86.90697950869534,1.5264148712158203,41.99000000000001,36.82347645636136,243.8022041512636,4052.0
43, Ada,16001010223,0.3266,0.1448,0.1852,0.3434,0.138,67.43581714059212,1.5264148712158203,39.450000000000045,35.9126731476616,238.87074212853997,4107.0
44, Ada,16001010224,0.4613,0.0101,0.0034,0.0943,0.0269,90.2010062312091,1.5264148712158203,39.03000000000003,35.1493197480549,,2863.0
45, Ada,16001010225,0.3737,0.1717,0.2256,0.4141,0.1145,66.72298728836125,1.5264148712158203,40.650000000000034,36.78849438468591,,5329.0
46, Ada,16001010313,0.3367,0.0943,0.1481,0.2424,0.1044,71.96033409317741,1.5264148712158203,45.05000000000001,38.51178224318932,229.52888512926478,13009.0
47, Ada,16001010321,0.6027,0.5253,0.7441,0.7205,0.165,38.05580789384458,1.5264148712158203,45.05000000000001,41.03595977810511,232.14074486055534,4761.0
48, Ada,16001010322,0.4916,0.6801,0.5084,0.4983,0.8283,48.2283470032982,1.5264148712158203,44.870000000000005,41.54718649704187,231.47306991646755,4570.0
49, Ada,16001010331,0.468,0.0438,0.1044,0.064,0.0539,72.05522002308244,1.5264148712158203,43.31,39.02367502556057,240.5299416675216,13058.0
50, Ada,16001010332,0.4579,0.1077,0.0303,0.33,0.2189,73.7162929034206,1.5264148712158203,42.79000000000002,40.09532794188198,243.06400370778496,7574.0
51, Ada,16001010333,0.4242,0.2727,0.4983,0.3838,0.1751,62.71360998378515,1.5264148712158203,43.31,39.93424769348167,238.76939053239144,7199.0
52, Ada,16001010334,0.2593,0.0875,0.1145,0.4714,0.0842,79.99458028442399,1.5264148712158203,42.73000000000002,39.94995720304643,,4055.0
53, Ada,16001010335,0.4108,0.1111,0.1414,0.1347,0.1717,84.96256459520461,1.5264148712158203,42.81,37.41584423117299,,12962.0
54, Ada,16001010401,0.2929,0.2323,0.0875,0.4545,0.4747,83.18754296082771,0.0,42.89000000000004,36.279673197950544,237.01721339162088,12370.0
55, Ada,16001010402,0.5589,0.1313,0.064,0.2155,0.2391,68.2057350149438,0.0,41.39000000000004,37.66243514885906,234.63651362815145,7102.0
56, Ada,16001010501,0.697,0.4512,0.4646,0.0034,0.8586,9.873434020076958,0.0,58.03000000000003,48.3056755642835,237.39257140423922,5103.0
57, Ada,16001010503,0.7643,0.2694,0.468,0.1212,0.1582,0.8717614371406276,1.5264148712158203,56.73000000000002,50.0742008673985,,2711.0
58, Ada,16001010504,0.5859,0.1414,0.2357,0.2222,0.0303,27.944982831718114,1.5264148712158203,48.31,41.77172861766067,,4065.0
59, Adams,16003950100,0.0875,0.2559,0.1684,0.6902,0.4882,93.5338973708899,0.0,40.670000000000016,32.42778464129433,333.53675277479635,1333.0
60, Adams,16003950200,0.0606,0.6195,0.6869,0.8451,0.6465,66.42979898822564,0.0,53.55000000000001,38.67926674390825,260.54492689384085,1713.0
61, Bannock,16005000200,0.1785,0.0168,0.0168,0.229,0.0067,62.98968293569659,1.6666030883789062,39.09000000000003,29.33154855637902,110.12023716581005,2976.0
62, Bannock,16005000300,0.4478,0.7172,0.8013,0.936,0.3636,54.40528874743331,1.6666030883789062,38.27000000000004,36.2294211348592,123.09535223245615,7259.0
63, Bannock,16005000400,0.367,0.101,0.0202,0.4175,0.2492,68.16570582058557,1.6666030883789062,38.190000000000055,34.12440355395763,123.09535223245615,4303.0
64, Bannock,16005000500,0.1852,0.0572,0.1515,0.1414,0.1111,87.25454219679483,1.6666030883789062,38.670000000000016,35.445656285972234,123.13204036963216,1485.0
