FIPS,Area,COUNTY,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioeconomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,PM-2-5,Heatwave,Density_Population
16001000100,4.325363167000001,Ada,0.697,0.8209,0.8788,0.2357,0.8345,29.19055361415148,1.6426706314086914,52.29000000000002,42.68548455728944,942.8431715305504,4602.0,4087.8229657099246,153965.0,1063.9569031129172
16001000201,14.24785944,Ada,0.0505,0.0405,0.2795,0.0741,0.0709,21.25148735208486,1.6426706314086914,58.370000000000005,44.17188011135552,942.7776714621968,3794.0,3355.724660745842,110693.0,266.2856140585284
16001000202,33.74620271,Ada,0.3872,0.0169,0.064,0.1111,0.0068,18.798873506676674,1.6426706314086914,57.49000000000001,45.182544266532254,960.1739822343238,6397.0,3158.3816701173337,197645.0,189.5620688043926
16001000302,2.089785544,Ada,0.6296,0.4358,0.7273,0.1515,0.2669,80.81895551162727,1.6426706314086914,50.950000000000045,42.080213087155286,960.4703547358516,3979.0,3726.929356025237,147819.0,1904.0231240110445
16001000303,2.042110892,Ada,0.2323,0.3007,0.5623,0.5084,0.1959,68.53705359655319,1.6426706314086914,49.79000000000002,41.56452450703156,960.4703547358514,2417.0,3798.786641542714,96727.0,1183.579211818826
16001000304,4.100172308,Ada,0.6094,0.1554,0.0976,0.1987,0.2568,73.99386317074492,1.6426706314086914,53.93000000000001,43.40507119180385,959.7421914264236,7470.0,3600.3145274225208,293052.0,1821.8746527859332
16001000400,3.87554219,Ada,0.6397,0.5777,0.798,0.1582,0.4155,65.26489437955894,1.6426706314086914,50.81,41.3381062795598,960.4703547358516,7086.0,3993.4880864575807,250585.0,1828.3893330548412
16001000500,3.100690228,Ada,0.2155,0.1993,0.3367,0.2424,0.2534,87.91488436521513,1.6426706314086914,51.63000000000005,41.92348672803307,960.4703547358516,6893.0,3914.2777382694367,242507.0,2223.0534149314576
16001000600,2.081942804,Ada,0.3805,0.0236,0.1448,0.037,0.0203,92.28645980928688,1.6426706314086914,51.170000000000016,42.04664170220077,956.3515400702762,6459.0,3974.9311987003366,185152.0,3102.390703332693
16001000701,2.852417586,Ada,0.0875,0.098,0.6801,0.0943,0.0169,76.69252613568159,1.6426706314086914,52.650000000000034,42.576055993805305,933.0510683357728,5445.0,3932.7867537726142,174090.0,1908.9070361663375
16001000702,16.520812720000002,Ada,0.4545,0.0135,0.0438,0.0673,0.0034,28.32397576502969,1.6426706314086914,59.31,44.28259202049837,932.9225554211058,3857.0,3239.6489358035187,106968.0,233.46309079157697
16001000802,2.804452323,Ada,0.5623,0.1149,0.1919,0.165,0.0777,82.64207831317061,1.6426706314086914,50.99000000000001,42.57443911580141,933.0510683357718,6389.0,3657.872828752832,235807.0,2278.1631720397763
16001000803,2.378081309,Ada,0.5185,0.0439,0.1246,0.0303,0.0676,82.92714391683423,1.6426706314086914,52.450000000000045,42.40720313753568,932.9306073864544,5112.0,3472.1410905171947,214915.0,2149.632134382164
16001000804,3.119933892,Ada,0.4848,0.277,0.5084,0.0202,0.4122,69.67380094837957,1.6426706314086914,50.410000000000025,41.92473774601884,933.0510683357728,6515.0,3864.049885777328,214652.0,2088.185271074327
16001000805,2.893388456,Ada,0.0572,0.0,0.0236,0.0471,0.0135,84.10899666973276,1.6426706314086914,50.410000000000025,41.662802635373566,932.9454788073572,3660.0,3527.418964146444,157739.0,1264.9528591331327
